은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
3411,2927,189,351,0,29,81,0,7,0,0,5,11,0,1,0,0,0,211,77
3427,2904,194,341,0,29,80,0,7,0,0,5,11,0,1,0,0,0,209,75
3430,2884,194,340,0,29,78,0,7,0,0,5,11,0,1,0,0,0,220,77
3424,2811,205,343,0,29,78,0,7,0,5,5,11,0,1,0,0,0,233,88
3437,2788,204,357,0,29,78,0,7,0,12,5,11,0,1,0,0,0,242,89
3181,2654,204,346,0,29,77,0,7,0,12,5,11,0,1,0,0,0,237,77
3571,2029,549,407,0,25,84,0,4,0,11,5,4,0,0,0,0,0,307,217
3638,2029,549,446,0,25,84,0,4,0,11,5,4,0,0,0,0,0,307,157
3568,2029,549,600,0,25,84,0,4,0,11,5,4,0,0,0,0,0,340,953
3541,2013,546,650,0,25,84,0,4,0,10,5,4,0,0,0,0,0,338,953
3489,1986,546,668,0,25,84,0,4,0,10,5,4,0,0,70,0,0,421,1015
3499,1963,728,668,0,25,84,0,4,0,10,5,4,0,0,70,0,0,461,1108
3481,1910,723,667,0,25,84,0,3,0,10,5,4,0,0,70,0,0,492,1120
3474,1890,721,732,0,25,80,0,3,0,10,5,4,0,0,70,0,0,493,1120
